date_date,orders_id,products_id,turnover,qty
2021-04-01,825451,109310,6.27,1
2021-04-01,825451,121538,2.71,1
2021-04-01,825451,122484,5.77,1
2021-04-01,825452,103589,76.75,7
2021-04-01,825454,11085,32.42,5
2021-04-01,825455,103588,43.42,4
2021-04-01,825456,79969,35.24,1
2021-04-01,825457,1685,1.22,1
2021-04-01,825457,76665,5.58,1
2021-04-01,825457,111007,6.21,1
2021-04-01,825457,120383,25.64,2
2021-04-01,825457,121067,5.72,1
2021-04-01,825458,5606,14.13,4
2021-04-01,825458,68868,17.4,4
2021-04-01,825458,77246,21.27,4
2021-04-01,825458,80539,8.82,1
2021-04-01,825458,80569,14.88,2
2021-04-01,825458,83625,10.82,3
2021-04-01,825458,83629,11.32,2
2021-04-01,825458,102188,2.83,1
2021-04-01,825458,104316,5.57,2
2021-04-01,825459,3222,3.23,1
2021-04-01,825459,5522,3.86,1
2021-04-01,825459,13349,2.25,1
2021-04-01,825459,28897,1.98,1
2021-04-01,825459,71190,1.86,1
2021-04-01,825459,80402,4.16,1
2021-04-01,825459,81234,3.36,1
2021-04-01,825459,83805,5.08,1
2021-04-01,825459,86523,1.59,1
2021-04-01,825459,86524,1.06,1
2021-04-01,825459,86808,6.35,1
2021-04-01,825459,90868,11.02,1
2021-04-01,825459,92899,8.25,1
2021-04-01,825459,93049,15.68,1
2021-04-01,825459,100038,11.39,1
2021-04-01,825459,102773,8.07,1
2021-04-01,825459,110573,1.92,1
2021-04-01,825459,112194,4.23,2
2021-04-01,825459,115698,8.04,1
2021-04-01,825459,120625,12.25,2
2021-04-01,825459,121070,5.72,1
2021-04-01,825459,122484,5.77,1
2021-04-01,825460,79969,35.24,1
2021-04-01,825462,2792,7.68,1
2021-04-01,825462,5037,2.72,1
2021-04-01,825462,5051,2.72,1
2021-04-01,825462,26098,1.62,1
2021-04-01,825462,76046,7.68,1
2021-04-01,825462,76466,3.77,1
2021-04-01,825462,83002,1.74,1
2021-04-01,825462,84167,2.3,1
2021-04-01,825462,104139,6.52,1
2021-04-01,825462,106710,2.54,1
2021-04-01,825462,106782,3.26,1
2021-04-01,825462,109177,2.04,1
2021-04-01,825462,109308,8.17,1
2021-04-01,825462,109312,2.68,1
2021-04-01,825462,120590,6.79,2
2021-04-01,825462,120594,6.79,2
2021-04-01,825462,120596,6.25,2
2021-04-01,825463,73221,21.83,1
2021-04-01,825463,76592,3.61,1
2021-04-01,825463,86018,6.14,1
2021-04-01,825463,91357,4.55,1
2021-04-01,825463,96417,5.95,1
2021-04-01,825463,101012,11.38,1
2021-04-01,825463,101300,33.08,2
2021-04-01,825463,104916,1.53,1
2021-04-01,825463,104928,7.38,1
2021-04-01,825463,110083,1.92,1
2021-04-01,825463,113391,1.95,1
2021-04-01,825463,116449,3.41,1
2021-04-01,825463,118242,16.54,1
2021-04-01,825464,1636,2.75,1
2021-04-01,825464,3426,6.82,1
2021-04-01,825464,7256,1.56,1
2021-04-01,825464,11003,4.49,1
2021-04-01,825464,48639,3.67,1
2021-04-01,825464,48641,1.58,1
2021-04-01,825464,71275,5.77,1
2021-04-01,825464,73245,1.44,1
2021-04-01,825464,73259,2.22,1
2021-04-01,825464,87034,22.46,1
2021-04-01,825464,87553,2.69,2
2021-04-01,825464,91496,8.05,1
2021-04-01,825464,104363,5.69,1
2021-04-01,825464,104376,11.07,1
2021-04-01,825464,120759,11.99,1
2021-04-01,825465,1281,4.14,1
2021-04-01,825465,28590,6.52,1
2021-04-01,825465,79669,6.16,2
2021-04-01,825465,86524,1.21,1
2021-04-01,825465,86611,8.0,1
