date_date,campaign_name,ads_cost
2021-04-13,FR - TXT - BN - Marque Greenweez,167
2021-04-13,FR - TXT - G - Générique Bio,78
2021-04-13,FR - TXT - GC - Génériques - Alimentation Bébé Bio,12
2021-04-13,FR - TXT - GC - Génériques - Beauté & Hygiène,20
2021-04-13,FR - TXT - GC - Génériques - Cuisine,36
2021-04-13,FR - TXT - GC - Génériques - Enfant,9
2021-04-13,FR - TXT - GC - Génériques - Entretien,45
2021-04-13,FR - TXT - GC - Génériques - Epicerie,30
2021-04-13,IA - COM - [ENG - ACQ] - Boost,58
2021-04-13,IA - COM - [PUR - ACQ],82
2021-04-13,IA - COM - [PUR - ACQ] - DABA,119
2021-04-13,IA - COM - [PUR - RT] - Clients Existants,57
2021-04-13,IA - COM - [PUR - RT] - DPA ex clients,100
2021-04-13,IA - COM - [PUR - RT] - Site & CRM,64
2021-04-13,IA - COM - [VID - ACQ],45
2021-04-13,criteo_audience_tv,83
2021-04-13,criteo_lower_funnel,91
2021-04-13,criteo_mid_funnel,15
2021-04-13,criteo_seg_occasionnels,10
2021-04-14,CH - SHP - All Products,21
2021-04-14,FR - DSA - Page Feed - Product,391
2021-04-14,FR - SHP - AB - Beaute & Hygiene - Smart,123
2021-04-14,FR - SHP - AB - Enfant,4
2021-04-14,FR - SHP - AB - Entretien,52
2021-04-14,FR - SHP - AB - Epicerie Salée,45
2021-04-14,FR - SHP - AB - Epicerie Sucrée,24
2021-04-14,FR - SHP - AB - Extérieur,1
2021-04-14,FR - SHP - AB - Maison - Smart,189
2021-04-14,FR - SHP - AB - Santé & Bien-être - Smart,140
2021-04-14,FR - SHP - AB - Top Marge - Smart,28
2021-04-14,FR - SHP - All Products,33
2021-04-14,FR - SHP - All Products - Smart,859
2021-04-14,FR - SHP - Couche - Smart,72
2021-04-14,FR - TXT - B - Marques,195
2021-04-14,FR - TXT - BN - Marque Greenweez,176
2021-04-14,FR - TXT - G - Générique Bio,81
2021-04-14,FR - TXT - GC - Génériques - Alimentation Bébé Bio,11
2021-04-14,FR - TXT - GC - Génériques - Beauté & Hygiène,24
2021-04-14,FR - TXT - GC - Génériques - Cuisine,64
2021-04-14,FR - TXT - GC - Génériques - Enfant,15
2021-04-14,FR - TXT - GC - Génériques - Entretien,46
2021-04-14,FR - TXT - GC - Génériques - Epicerie,30
2021-04-14,IA - COM - [ENG - ACQ] - Boost,61
2021-04-14,IA - COM - [PUR - ACQ],83
2021-04-14,IA - COM - [PUR - ACQ] - DABA,122
2021-04-14,IA - COM - [PUR - RT] - Clients Existants,58
2021-04-14,IA - COM - [PUR - RT] - DPA ex clients,105
2021-04-14,IA - COM - [PUR - RT] - Site & CRM,64
2021-04-14,IA - COM - [VID - ACQ],45
2021-04-14,criteo_audience_tv,74
2021-04-14,criteo_lower_funnel,85
2021-04-14,criteo_mid_funnel,16
2021-04-14,criteo_seg_occasionnels,10
2021-04-15,CH - SHP - All Products,24
2021-04-15,FR - DSA - Page Feed - Product,391
2021-04-15,FR - SHP - AB - Beaute & Hygiene - Smart,113
2021-04-15,FR - SHP - AB - Enfant,3
2021-04-15,FR - SHP - AB - Entretien,53
2021-04-15,FR - SHP - AB - Epicerie Salée,46
2021-04-15,FR - SHP - AB - Epicerie Sucrée,24
2021-04-15,FR - SHP - AB - Extérieur,1
2021-04-15,FR - SHP - AB - Maison - Smart,193
2021-04-15,FR - SHP - AB - Santé & Bien-être - Smart,98
2021-04-15,FR - SHP - AB - Top Marge - Smart,28
2021-04-15,FR - SHP - All Products,26
2021-04-15,FR - SHP - All Products - Smart,824
2021-04-15,FR - SHP - Couche - Smart,46
2021-04-15,FR - TXT - B - Marques,195
2021-04-15,FR - TXT - BN - Marque Greenweez,173
2021-04-15,FR - TXT - G - Générique Bio,63
2021-04-15,FR - TXT - GC - Génériques - Alimentation Bébé Bio,15
2021-04-15,FR - TXT - GC - Génériques - Beauté & Hygiène,24
2021-04-15,FR - TXT - GC - Génériques - Cuisine,50
2021-04-15,FR - TXT - GC - Génériques - Enfant,17
2021-04-15,FR - TXT - GC - Génériques - Entretien,45
2021-04-15,FR - TXT - GC - Génériques - Epicerie,30
2021-04-15,IA - COM - [ENG - ACQ] - Boost,58
2021-04-15,IA - COM - [PUR - ACQ],85
2021-04-15,IA - COM - [PUR - ACQ] - DABA,118
2021-04-15,IA - COM - [PUR - RT] - Clients Existants,59
2021-04-15,IA - COM - [PUR - RT] - DPA ex clients,101
2021-04-15,IA - COM - [PUR - RT] - Site & CRM,66
2021-04-15,IA - COM - [VID - ACQ],45
2021-04-15,criteo_audience_tv,59
2021-04-15,criteo_lower_funnel,84
2021-04-15,criteo_mid_funnel,12
2021-04-15,criteo_seg_occasionnels,12
2021-04-16,CH - SHP - All Products,28
2021-04-16,FR - DSA - Page Feed - Product,389
2021-04-16,FR - SHP - AB - Beaute & Hygiene - Smart,119
2021-04-16,FR - SHP - AB - Enfant,4
2021-04-16,FR - SHP - AB - Entretien,53
2021-04-16,FR - SHP - AB - Epicerie Salée,45
2021-04-16,FR - SHP - AB - Epicerie Sucrée,24
2021-04-16,FR - SHP - AB - Extérieur,1
2021-04-16,FR - SHP - AB - Maison - Smart,194
2021-04-16,FR - SHP - AB - Santé & Bien-être - Smart,80
2021-04-16,FR - SHP - AB - Top Marge - Smart,33
2021-04-16,FR - SHP - All Products,29
2021-04-16,FR - SHP - All Products - Smart,941
2021-04-16,FR - SHP - Couche - Smart,62
2021-04-16,FR - SHP MKP -  All Products,1
